id,ra,dec,p,p_er,evpa,evpa_er,q,q_er,u,u_er,dist,dist_low,dist_up,Rmag1,date_obs
IT_1621-0143776,294.36063,72.14177,0.01328,0.00193,-16.97478,4.21886,0.01101,0.00191,-0.00741,0.00198,1025.37456845068,994.482505576188,1058.20816572604,14.34,2019
IT_1621-0143554,293.94461,72.19478,0.01813,0.00163,-27.15907,2.52749,0.01057,0.00157,-0.01472,0.00166,968.493144127336,951.519133010659,986.072256868035,14.34,2019
IT_1626-0143690,295.01483,72.69208,0.01622,0.00209,-10.92247,3.77823,0.01505,0.00208,-0.00603,0.00215,832.43962108557,817.801569242975,847.601335791388,14.35,2019
IT_1622-0145092,293.84659,72.28543,0.01522,0.00203,-19.70279,3.84477,0.01176,0.00201,-0.00966,0.00207,1521.32332369061,1474.89230445955,1570.71035489562,14.35,2019
1622-0145340,294.44286,72.28253,0.01453,0.00189,-24.799999237060547,3.799999952316284,0.0094,0.00206,-0.01108,0.00176,933.0,919.0,948.0,14.35,2016
IT_1627-0145253,295.17035,72.72973,0.00662,0.00176,-13.29373,7.85725,0.00592,0.00175,-0.00296,0.00183,367.523060582818,355.00363071997,380.940492979946,14.37,2019
IT_1629-0138433,294.09756,72.97704,0.00325,0.00229,33.36529,19.16468,0.00128,0.00215,0.00299,0.00231,1082.95320842697,1059.77251130199,1107.15092820302,14.37,2019
IT_1627-0144812,294.28714,72.70551,0.01167,0.00198,-25.05678,4.83524,0.00748,0.00194,-0.00895,0.00201,1975.49351646588,1903.43763768878,2053.08990208447,14.38,2019
IT_1622-0145817,295.55203,72.21743,0.01844,0.00152,-21.84187,2.37273,0.01333,0.0015,-0.01273,0.00155,575.99866504294,571.188314561018,580.889252373289,14.38,2019
IT_1627-0145368,295.36145,72.7894,0.01225,0.0019,-22.74981,4.43828,0.00858,0.00186,-0.00873,0.00194,618.70366370046,609.890394957961,627.770651635865,14.38,2019
IT_1623-0142163,295.29312,72.35797,0.02348,0.00233,-21.60346,2.85086,0.01711,0.0023,-0.01607,0.00237,1321.5555307865,1297.04301688884,1346.99455063444,14.39,2019
IT_1619-0138913,294.2489,71.96945,0.01727,0.00183,-27.01277,2.99971,0.01014,0.00179,-0.01397,0.00185,1424.92537426788,1386.40574923543,1465.60262066278,14.4,2019
IT_1620-0140548,294.2587,72.00531,0.01342,0.00205,-24.32939,4.36888,0.00886,0.00202,-0.01007,0.00208,1381.38828947912,1346.85128678311,1417.70740738653,14.4,2019
IT_1621-0142921,292.72079,72.1268,0.00955,0.00288,-26.35457,8.72058,0.00578,0.00294,-0.00759,0.00285,761.844301729104,749.629420827355,774.456382853538,14.42,2019
IT_1628-0142953,293.79993,72.80694,0.01284,0.002,-26.09179,4.41898,0.00787,0.00196,-0.01014,0.00202,1277.12665778178,1251.06113124329,1304.28026657962,14.42,2019
IT_1622-0145133,293.96393,72.22369,0.01255,0.00189,-24.76433,4.29348,0.00814,0.00185,-0.00954,0.00192,568.449106915217,536.073804925357,604.900676670035,14.42,2019
IT_1627-0145205,295.0687,72.77908,0.01132,0.00201,-23.12846,5.07298,0.00782,0.00198,-0.00817,0.00202,1831.6585184981,1769.40836494361,1898.34903498357,14.43,2019
IT_1623-0141115,293.21613,72.34836,0.01721,0.00202,-30.36763,3.32248,0.00841,0.00198,-0.01501,0.00203,1154.44992381331,1133.71808200545,1175.93961773719,14.43,2019
IT_1626-0143747,295.11935,72.65026,0.01227,0.00372,-29.26806,8.80444,0.0064,0.0038,-0.01046,0.00369,1563.36799136095,1515.19953470452,1614.6338586644,14.43,2019
IT_1621-0143016,292.90298,72.18041,0.01824,0.00256,-31.56808,4.10233,0.00824,0.00263,-0.01627,0.00254,1039.00682995205,1020.52753150471,1058.1549564642,14.43,2019
IT_1621-0143016,292.90298,72.18041,0.01824,0.00256,-31.56808,4.10233,0.00824,0.00263,-0.01627,0.00254,1409.82625420993,876.791163371367,2418.14898435085,14.43,2019
IT_1629-0138788,294.73883,72.94967,0.01067,0.00217,-18.50357,5.86088,0.00852,0.00216,-0.00642,0.0022,599.711029537547,588.398904388773,611.458426748762,14.45,2019
IT_1629-0138788,294.73883,72.94967,0.01067,0.00217,-18.50357,5.86088,0.00852,0.00216,-0.00642,0.0022,543.501543654431,516.732633512174,573.137326770946,14.45,2019
IT_1625-0142946,295.12979,72.58322,0.01183,0.00299,-30.17645,7.58831,0.00585,0.0032,-0.01028,0.00293,1165.03764231737,1143.39798320767,1187.49648034135,14.45,2019
IT_1625-0143585,296.14676,72.50472,0.01867,0.00153,-26.79193,2.31783,0.01108,0.00148,-0.01502,0.00156,638.078481014788,632.083607373761,644.186081770383,14.45,2019
IT_1620-0139919,293.05768,72.00813,0.003,0.00179,1.10208,17.90768,0.00299,0.00179,1.2E-4,0.00187,333.344733711232,330.467405324601,336.271696441521,14.45,2019
IT_1626-0143657,294.92224,72.62268,0.01046,0.00392,-30.18285,10.8697,0.00517,0.00399,-0.00909,0.0039,1477.75119683833,1436.8926588094,1520.95320688376,14.47,2019
IT_1624-0141346,294.45084,72.46138,0.02143,0.00264,-31.74574,3.48487,0.00956,0.00259,-0.01917,0.00265,1578.76967276144,1530.57199380972,1630.03647082373,14.48,2019
IT_1628-0143232,294.42471,72.80952,0.00613,0.00163,-15.76456,7.80346,0.00522,0.00161,-0.0032,0.00169,890.762634691702,876.767127924889,905.203807201423,14.48,2019
